84,2016-0110,1,2016-08-24,20,Av Alberdi Y Carhue,Avenida,"Alberdi, Juan Bautista Av.",Carhue,"Alberdi, Juan Bautista Av. Y Carhue",comuna 9,Point (95506.35959227 96696.89655626),-58.51232237,-34.6590353,Peaton-Sd,Sd
85,2016-0111,1,2016-08-25,9,Autopista Leopoldo Lugones Y La Pampa,Autopista,Lugones,La Pampa,Lugones Y La Pampa,comuna 15,Point (98961.36262767 105838.76329094),-58.47461905,-34.57663634,Moto-Cargas,Cargas
86,2016-0112,1,2016-08-27,4,Autopista 25 De Mayo Autopista 1 Sur Arturo Frondizi,Autopista,Autopista 25 De Mayo,Autopista 1 Sur Presidente Arturo Frondizi,Autopista 25 De Mayo Y Autopista 1 Sur Presidente Arturo Frondizi,comuna 1,Point (107392.50226602 100712.59265582),-58.38268809,-34.62282019,Moto-Objeto Fijo,Objeto Fijo
87,2016-0113,1,2016-08-27,16,Av Juan Bautista Alberdi Y Guardia Nacional,Avenida,"Alberdi, Juan Bautista Av.",Guardia Nacional,"Alberdi, Juan Bautista Av. Y Guardia Nacional",comuna 9,Point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,Peaton-Pasajeros,Pasajeros
88,2016-0114,1,2016-08-31,11,Salguero 1410,Calle,"Salguero, Jeronimo",Sd,"Salguero, Jeronimo 1410",comuna 14,Point (104111.05146856 103917.57944765),-58.41848605,-34.59394733,Bicicleta-Cargas,Cargas
89,2016-0115,1,2016-09-02,11,Arias Y Tronador,Calle,Arias,Tronador,Arias Y Tronador,comuna 12,Point (97608.87024259 108884.67029908),-58.48935041,-34.54917673,Sd-Cargas,Cargas
90,2016-0116,1,2016-09-02,20,Av 27 De Febrero Y Av Escalada,Avenida,27 De Febrero Av.,Escalada Av.,27 De Febrero Av. Y Escalada Av.,comuna 8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,Moto-Auto,Auto
91,2016-0117,1,2016-09-03,15,Av Del Libertador Y Tagle,Avenida,Del Libertador Av.,Tagle,Del Libertador Av. Y Tagle,comuna 14,Point (105865.95849347 105162.71037105),-58.39936478,-34.58271474,Auto-Auto,Auto
92,2016-0118,1,2016-09-04,3,Autopista 1 Sur Pte Arturo Frondizi Km 2.9,Autopista,Autopista 1 Sur Presidente Arturo Frondizi,Sd,Autopista 1 Sur Presidente Arturo Frondizi Km. 2.9,comuna 1,Point (107696.68171812 100254.76268710),-58.37936704,-34.62694503,Auto-Auto,Auto
93,2016-0119,1,2016-09-04,6,Crisologo Larralde Y Avda Triunvirato,Avenida,"Larralde, Crisologo Av.",Triunvirato Av.,"Larralde, Crisologo Av. Y Triunvirato Av.",comuna 12,Point (96944.69676081 107291.52292157),-58.49659234,-34.56353635,Sd-Sd,Sd
94,2016-0122,1,2016-09-13,7,Av Eva Peron 4233,Avenida,"Peron, Eva Av.",Sd,"Peron, Eva Av. 4233",comuna 9,Point (99150.75069529 97484.46650280),-58.47256391,-34.65194557,Bicicleta-Pasajeros,Pasajeros
95,2016-0123,1,2016-09-14,9,Av Asamblea Y Av Cnel Esteban Bonorino,Avenida,Asamblea Av.,"Bonorino, Esteban, Cnel. Av.","Asamblea Av. Y Bonorino, Esteban, Cnel. Av.",comuna 7,Point (101099.34592952 98750.07827754),-58.45130953,-34.64053676,Moto-Auto,Auto
96,2016-0124,1,2016-09-16,15,Avda Rivadavia Y Rivera Indarte,Avenida,Rivadavia Av.,Rivera Indarte Av.,Rivadavia Av. Y Rivera Indarte Av.,comuna 7,Point (100053.89791316 100046.73776995),-58.46271207,-34.62884871,Peaton-Pasajeros,Pasajeros
97,2016-0125,1,2016-09-17,12,Autopista Perito Moreno Y Av Juan B Alberdi,Autopista,Autopista Perito Moreno,"Alberdi, Juan Bautista Av.","Autopista Perito Moreno Y Alberdi, Juan Bautista Av.",comuna 10,Point (97532.91184699 98538.89061454),-58.49020869,-34.64243791,Moto-Moto,Moto
98,2016-0126,2,2016-09-18,22,Irigoyen Y Tinogasta,Calle,Irigoyen,Tinogasta,Irigoyen Y Tinogasta,comuna 10,Point (94275.54271123 100886.87954649),-58.52572109,-34.62125906,Auto-Cargas,Cargas
99,2016-0127,1,2016-09-24,10,Av Mariano Acosta Y Av Cnel Roca,Avenida,"Acosta, Mariano","Roca, Cnel. Av.","Acosta, Mariano Y Roca, Cnel. Av.",comuna 8,Point (102048.72946345 95839.63478990),-58.44094791,-34.66677111,Peaton-Pasajeros,Pasajeros
100,2016-0128,1,2016-10-02,11,Castro Y Av Pavon,Avenida,Castro,Pavon Av.,Castro Y Pavon Av.,comuna 5,Point (104049.28528337 99858.37522846),-58.41914024,-34.6305389,Peaton-Pasajeros,Pasajeros
101,2016-0130,1,2016-10-04,12,Autopista 9 De Julio Sur Y Av Brasil,Autopista,Autopista 1 Sur Presidente Arturo Frondizi,Sd,Autopista 1 Sur Presidente Arturo Frondizi Y Brasil,comuna 1,Point (107720.24059557 100176.85101454),-58.37910942,-34.62764717,Moto-Cargas,Cargas
